Player,Team,Age,Games Played,PassingAtt,PassingYDs,PassingTD,Int,FL
Lamar Jackson,BAL,22,15,401,3127,36,6,2
Dak Prescott,DAL,26,16,596,4902,30,11,2
Russell Wilson,SEA,31,16,516,4110,31,5,2
Deshaun Watson,HOU,24,15,495,3852,26,12,3
Jameis Winston,TAM,25,16,626,5109,33,30,5
Josh Allen,BUF,23,16,461,3089,20,9,4
Patrick Mahomes,KAN,24,14,484,4031,26,5,2
Kyler Murray,ARI,22,16,542,3722,20,12,2
Aaron Rodgers,GNB,36,16,569,4002,26,4,4
Carson Wentz,PHI,27,16,607,4039,27,7,7
Matt Ryan,ATL,34,15,616,4466,26,14,5
Tom Brady,NWE,42,16,613,4057,24,8,1
Jared Goff,LAR,25,16,626,4638,22,16,5
Jimmy Garoppolo,SFO,28,16,476,3978,27,13,5
Kirk Cousins,MIN,31,15,444,3603,26,6,3
Ryan Fitzpatrick,MIA,37,15,502,3529,20,13,2
Derek Carr,OAK,28,16,513,4054,21,8,3
Philip Rivers,LAC,38,16,591,4615,23,20,3
Baker Mayfield,CLE,24,16,534,3827,22,21,2
Gardner Minshew,JAX,23,14,470,3271,21,6,7
Drew Brees,NOR,40,11,378,2979,27,4,0
Ryan Tannehill,TEN,31,12,286,2742,22,6,3
Jacoby Brissett,IND,27,15,447,2942,18,6,5
Daniel Jones,NYG,22,13,459,3027,24,12,11
Andy Dalton,CIN,32,13,528,3494,16,14,4
Mitchell Trubisky,CHI,25,15,516,3138,17,10,2
Sam Darnold,NYJ,22,13,441,3024,19,13,3
Kyle Allen,CAR,23,13,489,3322,17,16,7
Matthew Stafford,DET,31,8,291,2499,19,5,3
Mason Rudolph,PIT,24,10,283,1765,13,9,0
Case Keenum,WAS,31,10,247,1707,11,5,3
Teddy Bridgewater,NOR,27,9,196,1384,9,2,0
Joe Flacco,DEN,34,8,262,1822,6,5,3
Marcus Mariota,TEN,26,7,160,1203,7,2,0
Taysom Hill,NOR,29,16,6,55,0,0,0
Dwayne Haskins,WAS,22,9,203,1365,7,7,2
Drew Lock,DEN,23,5,156,1020,7,3,1
Jeff Driskel,DET,26,3,105,685,4,4,0
David Blough,DET,24,5,174,984,4,6,0
Eli Manning,NYG,38,4,147,1042,6,5,1
Devlin Hodges,PIT,23,8,160,1063,5,8,1
Nick Foles,JAX,30,4,117,736,3,2,2
Matt Moore,KAN,35,6,91,659,4,0,0
Matt Schaub,ATL,38,6,67,580,3,1,1
Brandon Allen,DEN,27,3,84,515,3,2,0
Chase Daniel,CHI,33,3,64,435,3,2,0
Ryan Finley,CIN,25,3,87,474,2,2,3
Brian Hoyer,IND,34,4,65,372,4,4,1
Josh Rosen,MIA,22,6,109,567,1,5,0
A.J. McCarron,HOU,29,2,37,225,0,1,0
Cam Newton,CAR,30,2,89,572,0,1,2
Robert Griffin,BAL,29,7,38,225,1,2,0
Ben Roethlisberger,PIT,37,2,62,351,0,1,0
Luke Falk,NYJ,25,3,73,416,0,3,1
Matt Barkley,BUF,29,2,51,359,0,3,1
Brett Hundley,ARI,26,3,11,49,0,0,0
Tyrod Taylor,LAC,30,8,6,33,1,0,0
Mike Glennon,OAK,30,2,10,56,1,0,1
Colt McCoy,WAS,33,1,27,122,0,1,0
Will Grier,CAR,24,2,52,228,0,4,1
Ryan Griffin,TAM,30,2,4,18,0,0,0
Josh McCown,PHI,40,3,5,24,0,0,0
Tim Boyle,GNB,25,3,4,15,0,0,0
Garrett Gilbert,CLE,28,5,3,0,0,0,0
Trace McSorley,BAL,24,1,0,0,0,0,0
Nick Mullens,SFO,24,1,0,0,0,0,0
Trevor Siemian,NYJ,28,1,6,3,0,0,0
Alex Tanney,NYG,32,1,1,1,0,0,0
Blake Bortles,LAR,27,3,2,3,0,0,0
Sean Mannion,MIN,27,3,21,126,0,2,1
Jarrett Stidham,NWE,23,3,4,14,0,1,0
